x,y
346141.0186,4887510.022
346155.0509,4887507.192
346166.4282,4887514.361
346170.6391,4887513.699
346170.3907,4887501.22
346179.0427,4887500.676
346179.0625,4887512.376
346186.4577,4887511.214
346193.3922,4887522.465
346209.3241,4887527.71
346217.5546,4887536.331
346228.5501,4887536.519
346237.6165,4887545.349
346241.8378,4887545.503
346241.6064,4887533.775
346252.0501,4887533.426
346252.3033,4887518.117
346266.0754,4887518.166
346265.2423,4887508.504
346288.4134,4887507.968
346287.3301,4887491.826
346271.6541,4887491.348
346265.0027,4887486.53
346263.0461,4887480.341
346268.6183,4887465.045
346189.8906,4887466.652
346189.5089,4887470.49
346177.8435,4887480.06
346141.069,4887480.346
346131.7628,4887490.322
